light_cone_name,image_url,local_image_path
A Dream Scented in Wheat,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/a-dream-scented-in-wheat.webp?v=1780757462226,prydwen_assets\light_cones\a_dream_scented_in_wheat.png
HP,https://cdn.prydwen.gg/images/honkai-star-rail/icons/stat_hp.webp,prydwen_assets\light_cones\hp.png
ATK,https://cdn.prydwen.gg/images/honkai-star-rail/icons/stat_atk.webp,prydwen_assets\light_cones\atk.png
DEF,https://cdn.prydwen.gg/images/honkai-star-rail/icons/stat_def.webp,prydwen_assets\light_cones\def.png
A Grounded Ascent,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/a-grounded-ascent.webp?v=1778524336072,prydwen_assets\light_cones\a_grounded_ascent.png
A Little GetawayNew,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/a-little-getaway.webp?v=1787563438724,prydwen_assets\light_cones\a_little_getawaynew.png
A Secret Vow,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/a-secret-vow.webp?v=1778524336072,prydwen_assets\light_cones\a_secret_vow.png
A Star That Lights the Night,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/a-star-that-lights-the-night.webp?v=1784867707228,prydwen_assets\light_cones\a_star_that_lights_the_night.png
A Thankless Coronation,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/a-thankless-coronation.webp?v=1778524336072,prydwen_assets\light_cones\a_thankless_coronation.png
A Trail of Bygone Blood,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/a-trail-of-bygone-blood.webp?v=1778524336072,prydwen_assets\light_cones\a_trail_of_bygone_blood.png
Adversarial,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/adversarial.webp?v=1778524336072,prydwen_assets\light_cones\adversarial.png
After the Charmony Fall,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/after-the-charmony-fall.webp?v=1778524336072,prydwen_assets\light_cones\after_the_charmony_fall.png
Along the Passing Shore,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/along-the-passing-shore.webp?v=1778524336072,prydwen_assets\light_cones\along_the_passing_shore.png
Amber,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/amber.webp?v=1778524336072,prydwen_assets\light_cones\amber.png
An Instant Before A Gaze,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/an-instant-before-a-gaze.webp?v=1778524336072,prydwen_assets\light_cones\an_instant_before_a_gaze.png
Arrows,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/arrows.webp?v=1778524336072,prydwen_assets\light_cones\arrows.png
Baptism of Pure Thought,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/baptism-of-pure-thought.webp?v=1778524336072,prydwen_assets\light_cones\baptism_of_pure_thought.png
Before Dawn,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/before-dawn.webp?v=1778524336072,prydwen_assets\light_cones\before_dawn.png
Before the Tutorial Mission Starts,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/before-the-tutorial-mission-starts.webp?v=1778524336072,prydwen_assets\light_cones\before_the_tutorial_mission_starts.png
Boundless Choreo,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/boundless-choreo.webp?v=1778524336072,prydwen_assets\light_cones\boundless_choreo.png
Brighter Than the Sun,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/brighter-than-the-sun.webp?v=1778524336072,prydwen_assets\light_cones\brighter_than_the_sun.png
But the Battle Isn't Over,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/but-the-battle-isnt-over.webp?v=1778524336072,prydwen_assets\light_cones\but_the_battle_isn't_over.png
"Carve the Moon, Weave the Clouds",https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/carve-the-moon-weave-the-clouds.webp?v=1778524336072,"prydwen_assets\light_cones\carve_the_moon,_weave_the_clouds.png"
Chorus,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/chorus.webp?v=1778524336072,prydwen_assets\light_cones\chorus.png
Collapsing Sky,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/collapsing-sky.webp?v=1778524336072,prydwen_assets\light_cones\collapsing_sky.png
Concert for Two,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/concert-for-two.webp?v=1778524336072,prydwen_assets\light_cones\concert_for_two.png
Cornucopia,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/cornucopia.webp?v=1778524336072,prydwen_assets\light_cones\cornucopia.png
Cruising in the Stellar Sea,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/cruising-in-the-stellar-sea.webp?v=1778524336072,prydwen_assets\light_cones\cruising_in_the_stellar_sea.png
Dance at Sunset,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/dance-at-sunset.webp?v=1778524336072,prydwen_assets\light_cones\dance_at_sunset.png
Dance! Dance! Dance!,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/dance-dance-dance.webp?v=1778524336072,prydwen_assets\light_cones\dance!_dance!_dance!.png
