character,slug,eidolon,eidolon_number,name,description
Acheron,acheron,E1,1,E,"Silenced Sky Spake Sooth 1 Silenced Sky Spake Sooth Eidolon 1 CRIT Rate increases by 18% when dealing DMG to debuffed enemies. E 2 Mute Thunder in Still Tempest Eidolon 2 The number of Nihility characters required for the Trace ""The Abyss"" to achieve its highest possible effect is reduced by 1 . When this unit's turn starts, gains 1 point of Slashed Dream and inflicts 1 stack of Crimson Knot on the enemy with the most Crimson Knot stacks. E 3 Frost Bites in Death Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Shrined Fire for Mirrored Soul Eidolon 4 When enemy targets enter combat, makes them Vulnerable to the Ultimate DMG, increasing the amount of DMG they take from the Ultimate by 8% . E 5 Strewn Souls on Erased Earths Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 Apocalypse, the Emancipator Eidolon 6 Increases the All-Type RES PEN for the Ultimate DMG dealt by Acheron by 20% . The DMG dealt by Basic ATK and Skill will also be considered as Ultimate DMG and can reduce enemy toughness regardless of Weakness Types. When Weakness is broken, triggers the Lightning Weakness Break effect."
Acheron,acheron,E2,2,CRIT Rate increases by,CRIT Rate increases by 18% when dealing DMG to debuffed enemies. 18% when dealing DMG to debuffed enemies.
Acheron,acheron,E3,3,"The number of Nihility characters required for the Trace ""The Abyss"" to achieve its highest possible effect is reduced by","The number of Nihility characters required for the Trace ""The Abyss"" to achieve its highest possible effect is reduced by 1 . When this unit's turn starts, gains 1 point of Slashed Dream and inflicts 1 stack of Crimson Knot on the enemy with the most Crimson Knot stacks. 1 . When this unit's turn starts, gains 1 point of Slashed Dream and inflicts 1 stack of Crimson Knot on the enemy with the most Crimson Knot stacks."
Acheron,acheron,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Acheron,acheron,E5,5,"When enemy targets enter combat, makes them Vulnerable to the Ultimate DMG, increasing the amount of DMG they take from the Ultimate by","When enemy targets enter combat, makes them Vulnerable to the Ultimate DMG, increasing the amount of DMG they take from the Ultimate by 8% . 8% ."
Acheron,acheron,E6,6,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Acheron,acheron,E7,7,Increases the All-Type RES PEN for the Ultimate DMG dealt by Acheron by,"Increases the All-Type RES PEN for the Ultimate DMG dealt by Acheron by 20% . The DMG dealt by Basic ATK and Skill will also be considered as Ultimate DMG and can reduce enemy toughness regardless of Weakness Types. When Weakness is broken, triggers the Lightning Weakness Break effect. 20% . The DMG dealt by Basic ATK and Skill will also be considered as Ultimate DMG and can reduce enemy toughness regardless of Weakness Types. When Weakness is broken, triggers the Lightning Weakness Break effect."
Aglaea,aglaea,E1,1,E,"Drift at the Whim of Venus 1 Drift at the Whim of Venus Eidolon 1 The enemy afflicted with ""Seam Stitch"" takes 15% increased DMG. After Aglaea or Garmentmaker attacks this target, additionally regenerates 20 Energy. E 2 Sail on the Raft of Eyelids Eidolon 2 When Aglaea or Garmentmaker takes action, enables the DMG dealt by Aglaea and Garmentmaker to ignore 14% of the target's DEF. This effect stacks up to 3 time(s) and lasts until any unit, other than Aglaea or Garmentmaker, actively uses an ability. E 3 Bequeath in the Coalescence of Dew Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. Memosprite Talent Lv. +1 , up to a maximum of Lv. 10. E 4 Flicker Below the Surface of Marble Eidolon 4 The SPD Boost effect from the Memosprite Talent has its max stack limit increased by 1 . After Aglaea uses an attack, can also make Garmentmaker gain the SPD Boost effect from the Memosprite Talent. E 5 Weave Under the Shroud of Woe Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. Memosprite Skill Lv. +1 , up to a maximum of Lv. 10. E 6 Fluctuate in the Tapestry of Fates Eidolon 6 While Aglaea is in ""Supreme Stance,"" increases her and Garmentmaker's Lightning RES PEN by 20% . When Aglaea's or Garmentmaker's SPD is greater than 160/240/320, the Joint ATK DMG dealt by them increases by 10% / 30% / 60% ."
Aglaea,aglaea,E2,2,"The enemy afflicted with ""Seam Stitch"" takes","The enemy afflicted with ""Seam Stitch"" takes 15% increased DMG. After Aglaea or Garmentmaker attacks this target, additionally regenerates 20 Energy. 15% increased DMG. After Aglaea or Garmentmaker attacks this target, additionally regenerates 20 Energy."
Aglaea,aglaea,E3,3,"When Aglaea or Garmentmaker takes action, enables the DMG dealt by Aglaea and Garmentmaker to ignore","When Aglaea or Garmentmaker takes action, enables the DMG dealt by Aglaea and Garmentmaker to ignore 14% of the target's DEF. This effect stacks up to 3 time(s) and lasts until any unit, other than Aglaea or Garmentmaker, actively uses an ability. 14% of the target's DEF. This effect stacks up to 3 time(s) and lasts until any unit, other than Aglaea or Garmentmaker, actively uses an ability."
