character,slug,trace_type,trace_name,description
Acheron Best Build Guide | Honkai: Star Rail,acheron,A2,Major trace,"Red Oni When battle starts, immediately gains 5 point(s) of Slashed Dream and applies 5 stack(s) of Crimson Knot to a random enemy. When Slashed Dream reaches its upper limit, for every point of Slashed Dream that exceeds the limit, gains 1 stack of Quadrivalent Ascendance. Increases the maximum stackable count for Quadrivalent Ascendance to 3 ."
Acheron Best Build Guide | Honkai: Star Rail,acheron,A4,Major trace,"The Abyss When there are 1 or 2 Nihility characters other than Acheron in the team, the DMG dealt by Acheron's Basic ATK, Skill, and Ultimate increases to 115% or 160% of the original DMG respectively."
Acheron Best Build Guide | Honkai: Star Rail,acheron,A6,Major trace,"Thunder Core When the Rainblade from Acheron's Ultimate hits enemy targets with Crimson Knot, her DMG increases by 30% , stacking up to 3 time(s) and lasting for 3 turn(s). And when Stygian Resurge triggers, additionally deals DMG for 6 times. Each time deals Lightning DMG equal to 25% of Acheron's ATK to a single random enemy and is viewed as part of the Ultimate DMG."
Aglaea Best Build Guide | Honkai: Star Rail,aglaea,A2,Major trace,"The Myopic's Doom While in Supreme Stance, increases Aglaea's and Garmentmaker's ATK by an amount equal to 720% of Aglaea's SPD plus 360% of Garmentmaker's SPD."
Aglaea Best Build Guide | Honkai: Star Rail,aglaea,A4,Major trace,"Last Thread of Fate When Garmentmaker disappears, up to 1 stack(s) of the SPD Boost from the Memosprite Talent can be retained. When Garmentmaker is summoned again, gains the corresponding number of SPD Boost stacks."
Aglaea Best Build Guide | Honkai: Star Rail,aglaea,A6,Major trace,"The Speeding Sol At the start of battle, if this unit's Energy is lower than 50%, regenerates this unit's Energy to 50% ."
Anaxa Best Build Guide | Honkai: Star Rail,anaxa,A2,Major trace,"Roaming Signifier When using Basic ATK, additionally regenerates 10 Energy. At the start of the turn, if there are no enemy targets in the ""Qualitative Disclosure"" state, immediately regenerates 30 Energy."
Anaxa Best Build Guide | Honkai: Star Rail,anaxa,A4,Major trace,"Imperative Hiatus Based on the number of ""Erudition"" characters in the team, one of the following effects will be triggered in the current battle: 1 character: Increases Anaxa's CRIT DMG by 140% . At least 2 characters: Increases DMG dealt by all allies by 50% ."
Anaxa Best Build Guide | Honkai: Star Rail,anaxa,A6,Major trace,"Qualitative Shift For every 1 different Weakness Type an enemy target has, the DMG that Anaxa deals to that target ignores 4% of their DEF. Up to a max of 7 Weakness Types can be taken into account for this effect."
Archer Best Build Guide | Honkai: Star Rail,archer,A2,Major trace,"Projection Magecraft When Archer is on the field, increases the maximum Skill Point limit by 2 ."
Archer Best Build Guide | Honkai: Star Rail,archer,A4,Major trace,"Hero of Justice When Archer enters battle, gains 1 Charge."
Archer Best Build Guide | Honkai: Star Rail,archer,A6,Major trace,"Guardian After allies gain a Skill Point, if there are 4 Skill Points or more, increases Archer's CRIT DMG by 120% for 1 turn(s)."
Argenti Best Build Guide | Honkai: Star Rail,argenti,A2,Major trace,"Piety At the start of a turn, immediately gains 1 stack(s) of Apotheosis."
Argenti Best Build Guide | Honkai: Star Rail,argenti,A4,Major trace,"Generosity When enemy targets enter battle, immediately regenerates 2 Energy for self."
Argenti Best Build Guide | Honkai: Star Rail,argenti,A6,Major trace,Courage Deals 15% more DMG to enemies whose HP percentage is 50% or less.
