name,slug,rarity,element,path,hp,atk,def,spd,minor_hp_pct,minor_atk_pct,minor_def_pct,minor_spd,minor_crit_rate_pct,minor_crit_dmg_pct,minor_break_effect_pct,minor_effect_res_pct,minor_effect_hit_rate_pct,minor_outgoing_healing_pct,minor_energy_regen_pct,minor_physical_dmg_pct,minor_fire_dmg_pct,minor_ice_dmg_pct,minor_lightning_dmg_pct,minor_wind_dmg_pct,minor_quantum_dmg_pct,minor_imaginary_dmg_pct,hp_with_minor_traces,atk_with_minor_traces,def_with_minor_traces,spd_with_minor_traces,minor_trace_stats_json,source_url
Acheron Best Build Guide | Honkai: Star Rail,acheron,5,Lightning,Nihility,1125,698,436,101,,28,,,,24,,,,,,,,,8,,,,1125.0,893.44,436.0,101.0,"{""minor_atk_pct"": ""28"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": ""24"", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": ""8"", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\acheron.html
Aglaea Best Build Guide | Honkai: Star Rail,aglaea,5,Lightning,Remembrance,1241,698,485,102,,,12.5,,12,,,,,,,,,,22.4,,,,1241.0,698.0,545.625,102.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""12"", ""minor_def_pct"": ""12.5"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": ""22.4"", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\aglaea.html
Anaxa Best Build Guide | Honkai: Star Rail,anaxa,5,Wind,Erudition,970,756,557,97,10,,,,12,,,,,,,,,,,22.4,,,1067.0,756.0,557.0,97.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""12"", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""10"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": ""22.4""}",file://D:\backup\zero cycling\html\html_pages\anaxa.html
Archer Best Build Guide | Honkai: Star Rail,archer,5,Quantum,Hunt,1164,620,485,105,,18,,,6.7,,,,,,,,,,,,22.4,,1164.0,731.6,485.0,105.0,"{""minor_atk_pct"": ""18"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""6.7"", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": ""22.4"", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\archer.html
Argenti Best Build Guide | Honkai: Star Rail,argenti,5,Physical,Erudition,1047,737,363,103,10,28,,,,,,,,,,14.4,,,,,,,1151.7,943.36,363.0,103.0,"{""minor_atk_pct"": ""28"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""10"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": ""14.4"", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\argenti.html
Arlan Best Build Guide | Honkai: Star Rail,arlan,4,Lightning,Destruction,1199,599,330,102,10,28,,,,,,18,,,,,,,,,,,1318.9,766.72,330.0,102.0,"{""minor_atk_pct"": ""28"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""18"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""10"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\arlan.html
Ashveil Best Build Guide | Honkai: Star Rail,ashveil,5,Lightning,Hunt,852,771,382,106,,,,,,37.3,,,,,,,,,14.4,,,,852.0,771.0,382.0,106.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": ""37.3"", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": ""14.4"", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\ashveil.html
Asta Best Build Guide | Honkai: Star Rail,asta,4,Fire,Harmony,1023,511,463,106,,,22.5,,6.7,,,,,,,,22.4,,,,,,1023.0,511.0,567.175,106.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""6.7"", ""minor_def_pct"": ""22.5"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": ""22.4"", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\asta.html
Aventurine Waveflair Best Build Guide | Honkai: Star Rail,aventurine-waveflair,5,Quantum,Elation,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\aventurine-waveflair.html
Aventurine Best Build Guide | Honkai: Star Rail,aventurine,5,Imaginary,Preservation,1203,446,654,106,,,35,,,,,10,,,,,,,,,,14.4,1203.0,446.0,882.9,106.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": ""35"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""10"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": ""14.4"", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\aventurine.html
