name,slug,rarity,path,hp,atk,def,effect_description
A Dream Scented in Wheat,a-dream-scented-in-wheat,4,Erudition,953,529,397,Increases the wearer's CRIT Rate by 12/14/16/18/20% . The Ultimate DMG and Follow-up ATK DMG dealt by the wearer increase by 24/28/32/36/40% .
A Grounded Ascent,a-grounded-ascent,5,Harmony,1164,476,529,"After the wearer uses Skill or Ultimate on one ally character, the wearer regenerates 6 / 6.5 / 7 / 7.5 / 8 Energy and the ability's target receives 1 stack of ""Hymn"" for 3 turn(s), stacking up to 3 time(s). Each stack of ""Hymn"" increases its holder's DMG dealt by 15 / 17.25 / 19.5 / 21.75 / 24% . After every 2 instance(s) of Skill or Ultimate the wearer uses on one ally character, recovers 1 Skill Point."
A Little Getaway,a-little-getaway,4,Elation,953,423,397,"Increases the wearer's Elation by 20/25/30/35/40% . When the wearer uses an Elation Skill, ignores 8/10/12/14/16% of the target's DEF."
A Secret Vow,a-secret-vow,4,Destruction,1058,476,264,Increases DMG dealt by the wearer by 20/25/30/35/40% . The wearer also deals an extra 20/25/30/35/40% of DMG to enemies whose current HP percentage is equal to or higher than the wearer's current HP percentage.
A Star That Lights the Night,a-star-that-lights-the-night,5,Erudition,847,635,529,"The wearer ignores 32/36/40/44/48% of the target's DEF when dealing DMG. When the wearer uses an Assist Skill, they regenerate 6 Energy and gain ""Sail,"" lasting for 2 turns and stacking up to 3 time(s). Each stack of ""Sail"" increases Assist Skill DMG by 20/25/30/35/40% . When ""Sail"" reaches 3 stacks, each stack of ""Sail"" increases Ultimate DMG by 20/25/30/35/40% ."
A Thankless Coronation,a-thankless-coronation,5,Destruction,953,582,529,"Increases the wearer's CRIT DMG by 36/45/54/63/72% . When using Ultimate, increases the wearer's ATK by 40/50/60/70/80% , and if the wearer's Max Energy is greater than or equal to 300, regenerates a fixed amount of Energy equal to 10% of the wearer's Max Energy and once again increases the wearer's ATK by 40/50/60/70/80% , lasting for 2 turns."
A Trail of Bygone Blood,a-trail-of-bygone-blood,4,Destruction,1058,529,331,Increases the wearer's CRIT Rate by 12/14/16/18/20% . The Skill DMG and Ultimate DMG dealt by the wearer increase by 24/28/32/36/40% .
Adversarial,adversarial,3,Hunt,740,370,264,"When the wearer defeats an enemy, increases SPD by 10 /12/14/16/18 % for 2 turn(s)"
After the Charmony Fall,after-the-charmony-fall,4,Erudition,847,476,397,"Increases the wearer's Break Effect by 28/35/42/49/56% . After the wearer uses Ultimate, increases SPD by 8/10/12/14/16 , lasting for 2 turn(s)."
Along the Passing Shore,along-the-passing-shore,5,Nihility,1058,635,396,"Increases the wearer's CRIT DMG by 36/42/48/54/60% . When the wearer hits an enemy target, inflicts Mirage Fizzle on the enemy, lasting for 1 turn. Each time the wearer attacks, this effect can only trigger 1 time on each target. The wearer deals 24/28/32/36/40% increased DMG to targets afflicted with Mirage Fizzle, and the DMG dealt by the wearer's Ultimate additionally increases by 24/28/32/36/40% ."
Amber,amber,3,Preservation,846,264,330,"Increases the wearer's DEF by 16 /20/24/28/32 % . If the wearer's current HP is lower than 50% , increases their DEF by a further 16 /20/24/28/32 % ."
An Instant Before A Gaze,an-instant-before-a-gaze,5,Erudition,1058,582,463,"Increases the wearer's CRIT DMG by 36/42/48/54/60% . When the wearer uses their Ultimate, the wearer's Ultimate DMG increases based on their Max Energy; Ultimate DMG increases by 0.36/0.42/0.48/0.54/0.6% per point of Energy, up to 180 Energy."
Arrows,arrows,3,Hunt,846,317,264,"At the beginning of the battle, increases the wearer's CRIT Rate by 12/15/18/21/24% for 3 turn(s)."
Baptism of Pure Thought,baptism-of-pure-thought,5,Hunt,952,582,529,"Increases the wearer's CRIT DMG by 20/23/26/29/32% . For every debuff on the enemy target, the wearer's CRIT DMG dealt against this target increases by 8/9/10/11/12% , stacking up to 3 times. When using Ultimate to attack the enemy target, the wearer receives the Disputation effect, which increases DMG dealt by 36/42/48/54/60% and enables their follow-up attacks to ignore 24/28/32/36/40% of the target's DEF. This effect lasts for 2 turns."
Before Dawn,before-dawn,5,Erudition,1058,582,463,"Increases the wearer's CRIT DMG by 36/42/48/54/60% . Increases the wearer's Skill and Ultimate DMG by 18/21/24/27/30% . After the wearer uses their Skill or Ultimate, they gain Somnus Corpus. Upon triggering a follow-up attack, Somnus Corpus will be consumed and the follow-up attack DMG increases by 48/56/64/72/80% ."
Before the Tutorial Mission Starts,before-the-tutorial-mission-starts,4,Nihility,952,476,330,"Increases the wearer's Effect Hit Rate by 20 /25/30/35/40 %. When the wearer attacks enemies that have reduced DEF, regenerates 4 /5/6/7/8 Energy."
Boundless Choreo,boundless-choreo,4,Nihility,953,476,331,Increase the wearer's CRIT Rate by 8/10/12/14/16% . The wearer deals 24/30/36/42/48% more CRIT DMG to enemies that are currently DEF reduced or Slowed.
Brighter Than the Sun,brighter-than-the-sun,5,Destruction,1058,635,396,"Increases the wearer's CRIT Rate by 18 /21/24/27/30 % . When the wearer uses their Basic ATK, they will gain 1 stack of Dragon's Call for 2 turns. Each stack of Dragon's Call increases the wearer's ATK by 18 /21/24/27/30 % and Energy Regeneration Rate by 6 /7/8/9/10 % . Dragon's Call can be stacked up to 2 times."
But the Battle Isn't Over,but-the-battle-isn-t-over,5,Harmony,1164,529,463,"Increases the wearer's Energy Regeneration Rate by 10 /12/14/16/18 % and regenerates 1 Skill Point when the wearer uses their Ultimate on an ally. This effect can be triggered after every 2 uses of the wearer's Ultimate. When the wearer uses their Skill, the next ally taking action (except the wearer) deals 30 /35/40/45/50 % more DMG for 1 turn(s)."
"Carve the Moon, Weave the Clouds",carve-the-moon-weave-the-clouds,4,Harmony,952,476,330,"At the start of the battle and whenever the wearer's turn begins, one of the following effects is applied randomly: All allies' ATK increases by 10 /12.5/15/17.5/20 % , all allies' CRIT DMG increases by 12 /15/18/21/24 % , or all allies' Energy Regeneration Rate increases by 6 /7.5/9/10.5/12 % . The applied effect cannot be identical to the last effect applied, and will replace the previous effect. The applied effect will be removed when the wearer has been knocked down. Effects of the similar type cannot be stacked."
Chorus,chorus,3,Harmony,846,317,264,"After entering battle, increases the ATK of all allies by 8 /9/10/11/12 % . Effects of the same type cannot stack."
Collapsing Sky,collapsing-sky,3,Destruction,846,370,198,Increases the wearer's Basic ATK and Skill DMG by 20/25/30/35/40% .
Concert for Two,concert-for-two,4,Preservation,952,370,463,"Increases the wearer's DEF by 16/20/24/28/32% . For every on-field character that has a Shield, the DMG dealt by the wearer increases by 4/5/6/7/8%."
Cornucopia,cornucopia,3,Abundance,952,264,264,"When the wearer uses their Skill or Ultimate, their Outgoing Healing increases by 12 /15/18/21/24 % ."
Cruising in the Stellar Sea,cruising-in-the-stellar-sea,5,Hunt,952,529,463,"Increases the wearer's CRIT rate by 8 /10/12/14/16 % , and increases their CRIT rate against enemies with HP less than or equal to 50% by an extra 8 /10/12/14/16 % . When the wearer defeats an enemy, their ATK is increased by 20 /25/30/35/40 % for 2 turn(s)."
Dance at Sunset,dance-at-sunset,5,Destruction,1058,582,463,"Greatly increases the odds that the wearer will be attacked and increases the wearer's CRIT DMG by 36/42/48/54/60% . After the wearer uses their Ultimate, they receive 1 stack of Firedance, lasting for 2 turns and up to 2 stacks. Each stack of Firedance increases the DMG dealt by the wearer's follow-up attack by 36/42/48/54/60%."
Dance! Dance! Dance!,dance-dance-dance,4,Harmony,952,423,396,"When the wearer uses their Ultimate, all allies' actions are Advanced Forward by 16/18/20/22/24%"
Darting Arrow,darting-arrow,3,Hunt,740,370,264,"When the wearer defeats an enemy, increase ATK by 24/30/36/42/48% for 3 turn(s)."
Data Bank,data-bank,3,Erudition,740,370,264,Increases the wearer's Ultimate DMG by 28/35/42/49/56%.
Day One of My New Life,day-one-of-my-new-life,4,Preservation,952,370,463,"Increases the wearer's DEF by 16 /18/20/22/24 % . After entering battle, increases DMG RES of all allies by 8 /9/10/11/12 % . Effects of the same type cannot stack."
Dazzled by a Flowery World,dazzled-by-a-flowery-world,5,Elation,1058,582,463,"Increases the wearer's CRIT DMG by 48/56/64/72/80% . While the wearer is on the field, for every 1 Elation character in the team, increases the Skill Point upper limit by 1 , up to a max increase of 3 . For every 1 Skill Point the wearer consumes, enables the Elation DMG dealt by this unit to ignore 5/6/7/8/9% of enemy targets' DEF, stacking up to 4 times. If 4 or more Skill Points are consumed in the same turn, the wearer gains ""Stream Promo,"" which increases all allies' Elation by 20/24/28/32/36% . Light Cone effects of the same type cannot stack."
Defense,defense,3,Preservation,952,264,264,"When the wearer unleashes their Ultimate, they restore HP by 18/21/24/27/30% of their Max HP."
Destiny's Threads Forewoven,destiny-s-threads-forewoven,4,Preservation,952,370,463,"Increases the wearer's Effect RES by 12/14/16/18/20% . For every 100 of DEF the wearer has, increases the DMG dealt by 0.8/0.9/1/1.1/1.2% to a max increase of 32/36/40/44/48% ."
Dream's Montage,dream-s-montage,4,Abundance,953,423,397,"Increases the wearer's SPD by 8/9/10/11/12% . After attacking enemy targets that are Weakness Broken, regenerates 3/3.5/4/4.5/5 Energy. This effect can trigger up to 2 time(s) per turn."
