name,type,description
"Amphoreus, The Eternal Land",Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's CRIT Rate by 8%. While the wearer's memosprite is on the field, increases all allies' SPD by 8%. This effect cannot be stacked."
Arcadia of Woven Dreams,Type: PLANETARY ORNAMENT SET,"(2)

When there are currently more or less than 4 ally targets in battle, each additional/missing ally target increases the wearer and their memosprite's DMG by 9%/12%, up to a maximum of 4/3 stacks."
As Navigator Isee Sees It,Type: RELIC SET,"(2)

Increases ATK by 12%.

(4)

When the wearer enters combat or uses Skill, the DMG dealt by their Skill and Ultimate increases by 18%, stacking up to 3 time(s). At the start of the wearer's turn or after using Ultimate, removes 1 stack(s) of this effect."
Band of Sizzling Thunder,Type: RELIC SET,"(2)

Increases Lightning DMG by 10%.

(4)

When the wearer uses Skill, increases the wearer's ATK by 20% for 1 turn(s)."
Belobog of the Architects,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's DEF by 15%. When the wearer's Effect Hit Rate is 50% or higher, the wearer gains an extra 15% DEF."
Bone Collection's Serene Demesne,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's Max HP by 12%. When the wearer's Max HP is 5000 or higher, increases the wearer's and their memosprite's CRIT DMG by 28%."
Broken Keel,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's Effect RES by 10%. When the wearer's Effect RES is at 30% or higher, all allies' CRIT DMG increases by 10%."
Celestial Differentiator,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's CRIT DMG by 16%. When the wearer's current CRIT DMG reaches 120% or higher, after entering battle, the wearer's CRIT Rate increases by 60% until the end of their first attack."
Champion of Streetwise Boxing,Type: RELIC SET,"(2)

Increases Physical DMG by 10%.

(4)

After the wearer attacks or is hit, their ATK increases by 5% for the rest of the battle. This effect can stack up to 5 time(s)."
City of Converging Stars,Type: PLANETARY ORNAMENT SET,"(2)

When the wearer uses Follow-Up ATK, increases ATK by 24% for 2 turn(s). When an enemy target gets defeated, increases CRIT DMG for all allies by 12% in the current battle. This effect cannot stack."
Cosmic Life Sciences Institute,Type: PLANETARY ORNAMENT SET,"(2)

When entering combat, if the wearer's Max Energy is greater than or equal to 200, increases the wearer's DMG dealt by 0.2% for every 1 point exceeding this value, up to a max increase of 32%.

(4)"
Divine-Querying Master Smith,Type: RELIC SET,"(2)

Increases Max HP by 12%.

(4)

Increases the wearer's CRIT DMG dealt to enemy targets in the DEF reduction state by 28%. After the wearer inflicts the DEF reduction state on an enemy target, all allies gain ""Comburent"" for 2 turn(s). This effect cannot be stacked. The DMG dealt by ally targets with ""Comburent"" increases by 15%. This effect can be triggered again after the wearer uses an attack."
Diviner of Distant Reach,Type: RELIC SET,"(2)

Increases SPD by 6%.

(4)

Before entering combat, if the wearer's SPD is greater than or equal to 120/160, increases the wearer's CRIT Rate by 10%/18%. When the wearer uses Elation Skill for the first time in each battle, enhances all allies' Elation by 10%. This effect cannot stack."
"Duran, Dynasty of Running Wolves",Type: PLANETARY ORNAMENT SET,"(2)

When allies use follow-up attacks, the wearer receives 1 stack of Merit, stacking up to 5 times. Every stack of Merit increases the DMG dealt by the wearer's follow-up attacks by 5%. When there are 5 stacks, additionally increases the wearer's CRIT DMG by 25%."
Eagle of Twilight Line,Type: RELIC SET,"(2)

Increases Wind DMG by 10%.

(4)

After the wearer uses Ultimate, their action is Advanced Forward by 25%."
Ever-Glorious Magical Girl,Type: RELIC SET,"(2)

Increases CRIT DMG by 16%.

(4)

The Elation DMG dealt by the wearer and their memosprites ignores 10% of targets' DEF. For every 5 accumulated Punchline allies gain, the Elation DMG dealt additionally ignores 1% of targets' DEF, stacking up to 10 time(s)."
Fallen Star Anchorage,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's CRIT Rate by 8%. When entering combat, if the wearer and another teammate are both Trailblaze Companions characters, increases the wearer's CRIT DMG by 32%.

(4)"
Firesmith of Lava-Forging,Type: RELIC SET,"(2)

Increases Fire DMG by 10%.

(4)

Increases the wearer's Skill DMG by 12%. After unleashing Ultimate, increases the wearer's Fire DMG by 12% for next attack."
Firmament Frontline: Glamoth,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's ATK by 12%. When the wearer's SPD is equal to or higher than 135/160, the wearer deals 12%/18% more DMG."
Fleet of the Ageless,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's Max HP by 12%. When the wearer's SPD reaches 120 or higher, all allies' ATK increases by 8%."
Forge of the Kalpagni Lantern,Type: PLANETARY ORNAMENT SET,"(2)

Increase the wearer's SPD by 6%. When the wearer hits enemy targets with Fire Weakness, the wearer's Break Effect increases by 40%, lasting for 1 turn(s)."
Genius of Brilliant Stars,Type: RELIC SET,"(2)

Increases Quantum DMG by 10%.

(4)

When the wearer deals DMG to the target enemy, ignores 10% DEF. If the target enemy has Quantum Weakness, the wearer additionally ignores 10% DEF."
Giant Tree of Rapt Brooding,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's SPD by 6%. When the wearer's SPD is 135/180 or higher, the wearer and their memosprite's Outgoing Healing increases by 12%/20%."
Guard of Wuthering Snow,Type: RELIC SET,"(2)

Reduces DMG taken by 8%.

(4)

At the beginning of the turn, if the wearer's HP is equal to or less than 50% of their Max HP, restores HP equal to 8% of their Max HP and regenerates 5 Energy."
Hero of Triumphant Song,Type: RELIC SET,"(2)

Increases ATK by 12%.

(4)

While the wearer's memosprite is on the field, increases the wearer's SPD by 6%. When the wearer's memosprite attacks, increases the wearer and memosprite's CRIT DMG by 30% for 2 turn(s)."
Hunter of Glacial Forest,Type: RELIC SET,"(2)

Increases Ice DMG by 10%.

(4)

After the wearer unleashes their Ultimate, their CRIT DMG increases by 25% for 2 turn(s)."
Inert Salsotto,Type: PLANETARY ORNAMENT SET,"(2)

Increases the wearer's CRIT Rate by 8%. When the wearer's current CRIT Rate reaches 50% or higher, the wearer's Ultimate and follow-up attack DMG increases by 15%."
