character_file,path_id,ability_kind,variable_name,min_value,eidolon_value,eidolon_value_2,raw_args,literal
TrailblazerRemembrance,8000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
TrailblazerRemembrance,8000,basic,enhancedBasicScaling,1.20,1.32,,"1.20, 1.32",True
TrailblazerRemembrance,8000,ult,ultScaling,2.40,2.64,,"2.40, 2.64",True
TrailblazerRemembrance,8000,talent,memoHpScaling,0.80,0.86,,"0.80, 0.86",True
TrailblazerRemembrance,8000,talent,memoHpFlat,640,688,,"640, 688",True
TrailblazerRemembrance,8000,memoSkill,memoSkillHitScaling,0.36,0.396,,"0.36, 0.396",True
TrailblazerRemembrance,8000,memoSkill,memoSkillFinalScaling,0.90,0.99,,"0.90, 0.99",True
TrailblazerRemembrance,8000,memoTalent,memoTalentCdBuffScaling,0.12,0.132,,"0.12, 0.132",True
TrailblazerRemembrance,8000,memoTalent,memoTalentCdBuffFlat,0.24,0.264,,"0.24, 0.264",True
TrailblazerRemembrance,8000,memoSkill,trueDmgScaling,0.28,0.30,,"0.28, 0.30",True
TrailblazerDestruction,8000,talent,talentAtkScalingValue,0.20,0.22,,"0.20, 0.22",True
TrailblazerDestruction,8000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
TrailblazerDestruction,8000,skill,skillScaling,1.25,1.375,,"1.25, 1.375",True
TrailblazerDestruction,8000,ult,ultScaling,4.5,4.80,,"4.5, 4.80",True
TrailblazerDestruction,8000,ult,ultEnhancedScaling,2.70,2.88,,"2.70, 2.88",True
TrailblazerDestruction,8000,ult,ultEnhancedScaling2,1.62,1.728,,"1.62, 1.728",True
TrailblazerPreservation,8000,skill,skillDamageReductionValue,0.50,0.52,,"0.50, 0.52",True
TrailblazerPreservation,8000,basic,basicAtkScaling,1.00,1.10,,"1.00, 1.10",True
TrailblazerPreservation,8000,basic,basicEnhancedAtkScaling,1.35,1.463,,"1.35, 1.463",True
TrailblazerPreservation,8000,ult,ultAtkScaling,1.00,1.10,,"1.00, 1.10",True
TrailblazerPreservation,8000,ult,ultDefScaling,1.50,1.65,,"1.50, 1.65",True
TrailblazerPreservation,8000,talent,talentShieldScaling,0.06,0.064,,"0.06, 0.064",True
TrailblazerPreservation,8000,talent,talentShieldFlat,80,89,,"80, 89",True
TrailblazerHarmony,8000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
TrailblazerHarmony,8000,skill,skillScaling,0.50,0.55,,"0.50, 0.55",True
TrailblazerHarmony,8000,ult,ultBeScaling,0.30,0.33,,"0.30, 0.33",True
TrailblazerElation,8000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
TrailblazerElation,8000,skill,skillScaling,0.60,0.66,,"0.60, 0.66",True
TrailblazerElation,8000,ult,ultCdBuffValue,0.50,0.54,,"0.50, 0.54",True
TrailblazerElation,8000,talent,talentSkillElationScaling,0.30,0.33,,"0.30, 0.33",True
Ashveil,1500,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Ashveil,1500,skill,skillScaling,2.00,2.20,,"2.00, 2.20",True
Ashveil,1500,skill,skillAdditionalScaling,1.00,1.10,,"1.00, 1.10",True
Ashveil,1500,skill,skillDefPenValue,0.40,0.44,,"0.40, 0.44",True
Ashveil,1500,ult,ultScaling,4.00,4.40,,"4.00, 4.40",True
Ashveil,1500,ult,ultBonusFuaScaling,2.00,2.20,,"2.00, 2.20",True
Ashveil,1500,talent,talentFuaScaling,2.00,2.20,,"2.00, 2.20",True
MortenaxBlade,1500,basic,basicScaling,0.50,0.55,,"0.50, 0.55",True
MortenaxBlade,1500,basic,enhancedBasicScaling,1.00,1.10,,"1.00, 1.10",True
MortenaxBlade,1500,skill,skillAoeScaling,0.72,0.792,,"0.72, 0.792",True
MortenaxBlade,1500,skill,skillBounceScaling,0.24,0.264,,"0.24, 0.264",True
MortenaxBlade,1500,ult,enhancedUltScaling,3.50,3.78,,"3.50, 3.78",True
MortenaxBlade,1500,ult,ultDefReductionValue,0.30,0.32,,"0.30, 0.32",True
MortenaxBlade,1500,ult,ultVulnerabilityValue,0.50,0.54,,"0.50, 0.54",True
MortenaxBlade,1500,ult,ultCdBuffValue,0.60,0.66,,"0.60, 0.66",True
Pearl,1500,basic,basicScaling,0.90,0.99,,"0.90, 0.99",True
Pearl,1500,basic,enhancedBasicScaling,1.00,1.10,,"1.00, 1.10",True
Pearl,1500,basic,enhancedBasicHealScaling,0.08,0.088,,"0.08, 0.088",True
Pearl,1500,basic,enhancedBasicHealFlat,160,176,,"160, 176",True
Pearl,1500,basic,enhancedBasicElationScaling,0.15,0.1625,,"0.15, 0.1625",True
Pearl,1500,skill,skillHealScaling,0.12,0.132,,"0.12, 0.132",True
Pearl,1500,skill,skillHealFlat,240,264,,"240, 264",True
Pearl,1500,ult,ultDeepLearningElationScaling,0.60,0.66,,"0.60, 0.66",True
Pearl,1500,talent,talentDmgReduction,0.30,0.33,,"0.30, 0.33",True
AventurineWaveflair,1500,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
AventurineWaveflair,1500,skill,skillScaling,2.40,2.64,,"2.40, 2.64",True
AventurineWaveflair,1500,ult,ultScaling,4.00,4.32,,"4.00, 4.32",True
AventurineWaveflair,1500,ult,ultSpdBuff,0.30,0.336,,"0.30, 0.336",True
AventurineWaveflair,1500,talent,talentSkillElationScaling,0.40,0.44,,"0.40, 0.44",True
AventurineWaveflair,1500,talent,talentUltElationScaling,0.72,0.792,,"0.72, 0.792",True
Evanescia,1500,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Evanescia,1500,skill,skillMainScaling,3.00,3.30,,"3.00, 3.30",True
Evanescia,1500,ult,ultAoeScaling,1.60,1.76,,"1.60, 1.76",True
Evanescia,1500,ult,ultBounceScaling,1.20,1.296,,"1.20, 1.296",True
Evanescia,1500,talent,talentSkillElationScaling,0.16,0.176,,"0.16, 0.176",True
Evanescia,1500,talent,talentUltAoeElationScaling,0.24,0.264,,"0.24, 0.264",True
Evanescia,1500,talent,talentUltBounceElationScaling,0.28,0.308,,"0.28, 0.308",True
Evanescia,1500,talent,foxTeacherAtkScaling,1.00,1.10,,"1.00, 1.10",True
Evanescia,1500,talent,foxTeacherElationScaling,0.25,0.275,,"0.25, 0.275",True
RinTohsaka,1500,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
RinTohsaka,1500,skill,skillScaling,1.80,1.98,,"1.80, 1.98",True
RinTohsaka,1500,skill,enhancedSkillAoeScaling,0.90,0.99,,"0.90, 0.99",True
RinTohsaka,1500,skill,enhancedSkillBounceScaling,0.90,0.99,,"0.90, 0.99",True
RinTohsaka,1500,ult,ultScaling,6.00,6.60,,"6.00, 6.60",True
RinTohsaka,1500,ult,ultVulnerabilityValue,0.20,0.22,,"0.20, 0.22",True
RinTohsaka,1500,talent,fuaScaling,3.00,3.30,,"3.00, 3.30",True
RinTohsaka,1500,talent,talentCdBuffValue,0.70,0.77,,"0.70, 0.77",True
HimekoNova,1500,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
HimekoNova,1500,ult,ultBeamScaling,0.32,0.352,,"0.32, 0.352",True
HimekoNova,1500,ult,ultOrbitalAoeScaling,0.20,0.22,,"0.20, 0.22",True
HimekoNova,1500,ult,ultOrbitalRandomScaling,0.30,0.33,,"0.30, 0.33",True
HimekoNova,1500,ult,ultFinalHitScaling,0.80,0.88,,"0.80, 0.88",True
HimekoNova,1500,skill,skillDmgBuffValue,0.20,0.22,,"0.20, 0.22",True
HimekoNova,1500,talent,talentCdBuffValue,0.80,0.88,,"0.80, 0.88",True
HimekoNova,1500,talent,talentResPenValue,0.20,0.22,,"0.20, 0.22",True
HimekoNova,1500,skill,selfAssistAoeScaling,2.00,2.20,,"2.00, 2.20",True
HimekoNova,1500,skill,selfAssistRandomScaling,0.32,0.348,,"0.32, 0.348",True
HimekoNova,1500,skill,allyAssistAoeScaling,1.60,1.76,,"1.60, 1.76",True
HimekoNova,1500,skill,allyAssistRandomScaling,0.24,0.264,,"0.24, 0.264",True
HimekoNova,1500,skill,verdictDmgBoostValue,1.00,1.10,,"1.00, 1.10",True
HimekoNova,1500,skill,verdictUltDmgBoostValue,1.00,1.10,,"1.00, 1.10",True
HimekoNova,1500,skill,decimationCdValue,1.00,1.10,,"1.00, 1.10",True
HimekoNova,1500,skill,decimationSkillCdValue,1.00,1.10,,"1.00, 1.10",True
SilverWolfLv999,1500,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
SilverWolfLv999,1500,basic,enhancedBasicBounceScaling,2.40,2.64,,"2.40, 2.64",True
SilverWolfLv999,1500,basic,enhancedBasicFinalHitScaling,1.00,1.10,,"1.00, 1.10",True
SilverWolfLv999,1500,skill,skillScaling,1.60,1.76,,"1.60, 1.76",True
SilverWolfLv999,1500,ult,mysteryBoxElationScaling,0.90,0.99,,"0.90, 0.99",True
SilverWolfLv999,1500,talent,talentCBElationScaling,0.40,0.44,,"0.40, 0.44",True
SilverWolfLv999,1500,talent,mmrCrPerPoint,0.004,0.0044,,"0.004, 0.0044",True
SilverWolfLv999,1500,talent,mmrCdPerPoint,0.008,0.0088,,"0.008, 0.0088",True
Yaoguang,1500,basic,basicScaling,0.90,0.99,,"0.90, 0.99",True
Yaoguang,1500,skill,skillElationBuff,0.20,0.22,,"0.20, 0.22",True
Yaoguang,1500,ult,ultResPenValue,0.20,0.22,,"0.20, 0.22",True
Yaoguang,1500,talent,talentElationScaling,0.20,0.22,,"0.20, 0.22",True
RobinSummeretto,1500,basic,basicScaling,0.50,0.55,,"0.50, 0.55",True
RobinSummeretto,1500,memoSkill,memoSkillScaling,1.50,1.65,,"1.50, 1.65",True
RobinSummeretto,1500,talent,talentZoneDefPen,0.15,0.16,,"0.15, 0.16",True
RobinSummeretto,1500,memoTalent,memoTalentDmgBoost,0.60,0.66,,"0.60, 0.66",True
RobinSummeretto,1500,memoTalent,memoTalentDmgBoostPerVibe,0.02,0.022,,"0.02, 0.022",True
RobinSummeretto,1500,memoTalent,,0.08,0.088,,"0.08, 0.088",True
RobinSummeretto,1500,memoTalent,,0.12,0.132,,"0.12, 0.132",True
RobinSummeretto,1500,memoTalent,,0.16,0.176,,"0.16, 0.176",True
Gilgamesh,1500,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Gilgamesh,1500,skill,skillScaling,2.80,3.08,,"2.80, 3.08",True
Gilgamesh,1500,skill,skillDefIgnoreValue,0.30,0.33,,"0.30, 0.33",True
Gilgamesh,1500,ult,ultScaling,4.00,4.40,,"4.00, 4.40",True
Gilgamesh,1500,ult,ultBounceScaling,1.00,1.10,,"1.00, 1.10",True
Gilgamesh,1500,talent,jointFuaScaling,4.00,4.40,,"4.00, 4.40",True
Gilgamesh,1500,talent,talentUltDmgBuffValue,0.40,0.44,,"0.40, 0.44",True
Sparxie,1500,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Sparxie,1500,skill,engagementScaling,0.20,0.22,,"0.20, 0.22",True
Sparxie,1500,ult,ultAtkScaling,0.50,0.54,,"0.50, 0.54",True
Sparxie,1500,talent,talentMainElationScaling,0.40,0.44,,"0.40, 0.44",True
Sparxie,1500,talent,talentEngagementElationScaling,0.20,0.22,,"0.20, 0.22",True
Sparxie,1500,talent,talentUltElationScaling,0.48,0.528,,"0.48, 0.528",True
Asta,1000,ult,ultSpdBuffValue,50,52.8,,"50, 52.8",True
Asta,1000,talent,talentStacksAtkBuff,0.14,0.154,,"0.14, 0.154",True
Asta,1000,basic,basicScaling,1.0,1.1,,"1.0, 1.1",True
Asta,1000,skill,skillScaling,0.50,0.55,,"0.50, 0.55",True
Asta,1000,basic,dotScaling,0.50,0.55,,"0.50, 0.55",True
Himeko,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Himeko,1000,skill,skillScaling,2.00,2.20,,"2.00, 2.20",True
Himeko,1000,ult,ultScaling,2.30,2.484,,"2.30, 2.484",True
Himeko,1000,talent,fuaScaling,1.40,1.54,,"1.40, 1.54",True
Saber,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Saber,1000,basic,basicEnhancedScaling,1.50,1.65,,"1.50, 1.65",True
Saber,1000,basic,basicEnhancedExtraScaling,2.20,2.42,,"2.20, 2.42",True
Saber,1000,skill,skillScaling,1.50,1.65,,"1.50, 1.65",True
Saber,1000,skill,skillStackScaling,0.14,0.154,,"0.14, 0.154",True
Saber,1000,ult,ultScaling,2.80,3.08,,"2.80, 3.08",True
Saber,1000,ult,ultBounceScaling,1.10,1.21,,"1.10, 1.21",True
Saber,1000,talent,talentDmgBuffScaling,0.60,0.66,,"0.60, 0.66",True
Arlan,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Arlan,1000,skill,skillScaling,2.40,2.64,,"2.40, 2.64",True
Arlan,1000,ult,ultScaling,3.20,3.456,,"3.20, 3.456",True
Arlan,1000,talent,talentMissingHpDmgBoostMax,0.72,0.792,,"0.72, 0.792",True
KafkaB1,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
KafkaB1,1000,skill,skillScaling,1.60,1.76,,"1.60, 1.76",True
KafkaB1,1000,ult,ultScaling,0.80,0.864,,"0.80, 0.864",True
KafkaB1,1000,talent,fuaScaling,1.40,1.596,,"1.40, 1.596",True
KafkaB1,1000,ult,dotScaling,2.90,3.18275,,"2.90, 3.18275",True
DanHeng,1000,talent,extraPenValue,0.36,0.396,,"0.36, 0.396",True
DanHeng,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
DanHeng,1000,skill,skillScaling,2.60,2.86,,"2.60, 2.86",True
DanHeng,1000,ult,ultScaling,4.00,4.32,,"4.00, 4.32",True
DanHeng,1000,ult,ultExtraScaling,1.20,1.296,,"1.20, 1.296",True
SilverWolfB1,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
SilverWolfB1,1000,skill,skillScaling,1.96,2.156,,"1.96, 2.156",True
SilverWolfB1,1000,ult,ultScaling,3.80,4.104,,"3.80, 4.104",True
SilverWolfB1,1000,skill,skillResShredValue,0.13,0.135,,"0.13, 0.135",True
SilverWolfB1,1000,talent,talentDefShredDebuffValue,0.12,0.132,,"0.12, 0.132",True
SilverWolfB1,1000,ult,ultDefShredValue,0.45,0.468,,"0.45, 0.468",True
SilverWolfB1,1000,talent,bugBaseChance,1.00,1.08,,"1.00, 1.08",True
SilverWolfB1,1000,ult,ultBaseChance,1.20,1.28,,"1.20, 1.28",True
SilverWolfB1,1000,skill,,120,128,,"120, 128",True
SilverWolfB1,1000,talent,,10,11,,"10, 11",True
SilverWolfB1,1000,talent,,12,13.2,,"12, 13.2",True
SilverWolfB1,1000,talent,,6,6.6,,"6, 6.6",True
March7th,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
March7th,1000,ult,ultScaling,1.50,1.62,,"1.50, 1.62",True
March7th,1000,talent,fuaScaling,1.00,1.10,,"1.00, 1.10",True
March7th,1000,skill,skillShieldScaling,0.57,0.608,,"0.57, 0.608",True
March7th,1000,skill,skillShieldFlat,760,845.5,,"760, 845.5",True
Archer,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Archer,1000,skill,skillScaling,3.60,3.96,,"3.60, 3.96",True
Archer,1000,skill,skillEnhancedExtraScaling,1.00,1.08,,"1.00, 1.08",True
Archer,1000,ult,ultScaling,10.00,10.80,,"10.00, 10.80",True
Archer,1000,talent,fuaScaling,2.00,2.20,,"2.00, 2.20",True
WeltB1,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
WeltB1,1000,skill,skillScaling,0.72,0.792,,"0.72, 0.792",True
WeltB1,1000,ult,ultScaling,1.50,1.62,,"1.50, 1.62",True
WeltB1,1000,talent,talentScaling,1.00,1.10,,"1.00, 1.10",True
Herta,1000,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Herta,1000,skill,skillScaling,1.00,1.10,,"1.00, 1.10",True
Herta,1000,ult,ultScaling,2.00,2.16,,"2.00, 2.16",True
Herta,1000,talent,fuaScaling,0.40,0.43,,"0.40, 0.43",True
Misha,1300,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Misha,1300,skill,skillScaling,2.00,2.20,,"2.00, 2.20",True
Misha,1300,ult,ultStackScaling,0.60,0.65,,"0.60, 0.65",True
SparkleB1,1300,skill,skillCdBuffScaling,0.24,0.264,,"0.24, 0.264",True
SparkleB1,1300,skill,skillCdBuffBase,0.45,0.486,,"0.45, 0.486",True
SparkleB1,1300,ult,cipherTalentStackBoost,0.06,0.0648,,"0.06, 0.0648",True
SparkleB1,1300,talent,talentBaseStackBoost,0.04,0.044,,"0.04, 0.044",True
SparkleB1,1300,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Robin,1300,skill,skillDmgBuffValue,0.50,0.55,,"0.50, 0.55",True
Robin,1300,talent,talentCdBuffValue,0.20,0.23,,"0.20, 0.23",True
Robin,1300,ult,ultAtkBuffScalingValue,0.228,0.2432,,"0.228, 0.2432",True
Robin,1300,ult,ultAtkBuffFlatValue,200,230,,"200, 230",True
Robin,1300,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Robin,1300,ult,ultScaling,1.20,1.296,,"1.20, 1.296",True
Aventurine,1300,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
Aventurine,1300,ult,ultScaling,2.70,2.916,,"2.70, 2.916",True
Aventurine,1300,ult,ultCdBoost,0.15,0.162,,"0.15, 0.162",True
Aventurine,1300,talent,talentDmgScaling,0.25,0.275,,"0.25, 0.275",True
Aventurine,1300,talent,talentResScaling,0.50,0.55,,"0.50, 0.55",True
Aventurine,1300,skill,skillShieldScaling,0.24,0.256,,"0.24, 0.256",True
Aventurine,1300,skill,skillShieldFlat,320,356,,"320, 356",True
Argenti,1300,basic,basicScaling,1.00,1.10,,"1.00, 1.10",True
