name,image_url,local_image_path
All Honkai Star Rail Characters,https://cdn.prydwen.gg/images/honkai-star-rail/categories/category_characters.webp,prydwen_assets\characters\all_honkai_star_rail_characters.png
Acheron,https://cdn.prydwen.gg/images/honkai-star-rail/characters/acheron_card.webp,prydwen_assets\characters\acheron.png
Aglaea,https://cdn.prydwen.gg/images/honkai-star-rail/characters/aglaea_card.webp,prydwen_assets\characters\aglaea.png
Anaxa,https://cdn.prydwen.gg/images/honkai-star-rail/characters/anaxa_card.webp,prydwen_assets\characters\anaxa.png
Archer,https://cdn.prydwen.gg/images/honkai-star-rail/characters/archer_card.webp,prydwen_assets\characters\archer.png
Argenti,https://cdn.prydwen.gg/images/honkai-star-rail/characters/argenti_card.webp,prydwen_assets\characters\argenti.png
Arlan,https://cdn.prydwen.gg/images/honkai-star-rail/characters/arlan_card.webp,prydwen_assets\characters\arlan.png
Ashveil,https://cdn.prydwen.gg/images/honkai-star-rail/characters/ashveil_card.webp,prydwen_assets\characters\ashveil.png
Asta,https://cdn.prydwen.gg/images/honkai-star-rail/characters/asta_card.webp,prydwen_assets\characters\asta.png
Aventurine,https://cdn.prydwen.gg/images/honkai-star-rail/characters/aventurine_card.webp,prydwen_assets\characters\aventurine.png
Aventurine Waveflair4.5,https://cdn.prydwen.gg/images/honkai-star-rail/characters/aventurine-waveflair_card.webp,prydwen_assets\characters\aventurine_waveflair4.5.png
Bailu,https://cdn.prydwen.gg/images/honkai-star-rail/characters/bailu_card.webp,prydwen_assets\characters\bailu.png
Black Swan,https://cdn.prydwen.gg/images/honkai-star-rail/characters/black-swan_card.webp,prydwen_assets\characters\black_swan.png
Blade,https://cdn.prydwen.gg/images/honkai-star-rail/characters/blade_card.webp,prydwen_assets\characters\blade.png
Boothill,https://cdn.prydwen.gg/images/honkai-star-rail/characters/boothill_card.webp,prydwen_assets\characters\boothill.png
Bronya,https://cdn.prydwen.gg/images/honkai-star-rail/characters/bronya_card.webp,prydwen_assets\characters\bronya.png
Castorice,https://cdn.prydwen.gg/images/honkai-star-rail/characters/castorice_card.webp,prydwen_assets\characters\castorice.png
Cerydra,https://cdn.prydwen.gg/images/honkai-star-rail/characters/cerydra_card.webp,prydwen_assets\characters\cerydra.png
Cipher,https://cdn.prydwen.gg/images/honkai-star-rail/characters/cipher_card.webp,prydwen_assets\characters\cipher.png
Clara,https://cdn.prydwen.gg/images/honkai-star-rail/characters/clara_card.webp,prydwen_assets\characters\clara.png
Cyrene,https://cdn.prydwen.gg/images/honkai-star-rail/characters/cyrene_card.webp,prydwen_assets\characters\cyrene.png
Dan Heng,https://cdn.prydwen.gg/images/honkai-star-rail/characters/dan-heng_card.webp,prydwen_assets\characters\dan_heng.png
Dan Heng • Imbibitor Lunae,https://cdn.prydwen.gg/images/honkai-star-rail/characters/imbibitor-lunae_card.webp,prydwen_assets\characters\dan_heng_•_imbibitor_lunae.png
Dan Heng • Permansor Terrae,https://cdn.prydwen.gg/images/honkai-star-rail/characters/dan-heng-permansor-terrae_card.webp,prydwen_assets\characters\dan_heng_•_permansor_terrae.png
Dr. Ratio,https://cdn.prydwen.gg/images/honkai-star-rail/characters/dr-ratio_card.webp,prydwen_assets\characters\dr._ratio.png
Evanescia,https://cdn.prydwen.gg/images/honkai-star-rail/characters/evanescia_card.webp,prydwen_assets\characters\evanescia.png
Feixiao,https://cdn.prydwen.gg/images/honkai-star-rail/characters/feixiao_card.webp,prydwen_assets\characters\feixiao.png
Firefly,https://cdn.prydwen.gg/images/honkai-star-rail/characters/firefly_card.webp,prydwen_assets\characters\firefly.png
Fu Xuan,https://cdn.prydwen.gg/images/honkai-star-rail/characters/fu-xuan_card.webp,prydwen_assets\characters\fu_xuan.png
Gallagher,https://cdn.prydwen.gg/images/honkai-star-rail/characters/gallagher_card.webp,prydwen_assets\characters\gallagher.png
Gepard,https://cdn.prydwen.gg/images/honkai-star-rail/characters/gepard_card.webp,prydwen_assets\characters\gepard.png
Gilgamesh,https://cdn.prydwen.gg/images/honkai-star-rail/characters/gilgamesh_card.webp,prydwen_assets\characters\gilgamesh.png
Guinaifen,https://cdn.prydwen.gg/images/honkai-star-rail/characters/guinaifen_card.webp,prydwen_assets\characters\guinaifen.png
Hanya,https://cdn.prydwen.gg/images/honkai-star-rail/characters/hanya_card.webp,prydwen_assets\characters\hanya.png
Herta,https://cdn.prydwen.gg/images/honkai-star-rail/characters/herta_card.webp,prydwen_assets\characters\herta.png
Himeko,https://cdn.prydwen.gg/images/honkai-star-rail/characters/himeko_card.webp,prydwen_assets\characters\himeko.png
Himeko Nova,https://cdn.prydwen.gg/images/honkai-star-rail/characters/himeko-nova_card.webp,prydwen_assets\characters\himeko_nova.png
Hook,https://cdn.prydwen.gg/images/honkai-star-rail/characters/hook_card.webp,prydwen_assets\characters\hook.png
Huohuo,https://cdn.prydwen.gg/images/honkai-star-rail/characters/huohuo_card.webp,prydwen_assets\characters\huohuo.png
Hyacine,https://cdn.prydwen.gg/images/honkai-star-rail/characters/hyacine_card.webp,prydwen_assets\characters\hyacine.png
Hysilens,https://cdn.prydwen.gg/images/honkai-star-rail/characters/hysilens_card.webp,prydwen_assets\characters\hysilens.png
Jade,https://cdn.prydwen.gg/images/honkai-star-rail/characters/jade_card.webp,prydwen_assets\characters\jade.png
Jiaoqiu,https://cdn.prydwen.gg/images/honkai-star-rail/characters/jiaoqiu_card.webp,prydwen_assets\characters\jiaoqiu.png
Jing Yuan,https://cdn.prydwen.gg/images/honkai-star-rail/characters/jing-yuan_card.webp,prydwen_assets\characters\jing_yuan.png
Jingliu,https://cdn.prydwen.gg/images/honkai-star-rail/characters/jingliu_card.webp,prydwen_assets\characters\jingliu.png
Kafka,https://cdn.prydwen.gg/images/honkai-star-rail/characters/kafka_card.webp,prydwen_assets\characters\kafka.png
Lingsha,https://cdn.prydwen.gg/images/honkai-star-rail/characters/lingsha_card.webp,prydwen_assets\characters\lingsha.png
Luka,https://cdn.prydwen.gg/images/honkai-star-rail/characters/luka_card.webp,prydwen_assets\characters\luka.png
Luocha,https://cdn.prydwen.gg/images/honkai-star-rail/characters/luocha_card.webp,prydwen_assets\characters\luocha.png
Lynx,https://cdn.prydwen.gg/images/honkai-star-rail/characters/lynx_card.webp,prydwen_assets\characters\lynx.png
March 7th,https://cdn.prydwen.gg/images/honkai-star-rail/characters/march-7th_card.webp,prydwen_assets\characters\march_7th.png
