name,category,image_url,local_path
"Amphoreus, The Eternal Land",Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Famphoreus-the-eternal-land.webp&w=128&q=75,"prydwen_assets\planars\amphoreus,_the_eternal_land.png"
Arcadia of Woven Dreams,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Farcadia-of-woven-dreams.webp&w=128&q=75,prydwen_assets\planars\arcadia_of_woven_dreams.png
Belobog of the Architects,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fbelobog-of-the-architects.webp&w=128&q=75,prydwen_assets\planars\belobog_of_the_architects.png
Bone Collection's Serene Demesne,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fbone-collections-serene-demesne.webp&w=128&q=75,prydwen_assets\planars\bone_collection's_serene_demesne.png
Broken Keel,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fbroken-keel.webp&w=128&q=75,prydwen_assets\planars\broken_keel.png
Celestial Differentiator,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fcelestial-differentiator.webp&w=128&q=75,prydwen_assets\planars\celestial_differentiator.png
City of Converging Stars,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fcity-of-converging-stars.webp&w=128&q=75,prydwen_assets\planars\city_of_converging_stars.png
Cosmic Life Sciences Institute,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fcosmic-life-sciences-institute.webp&w=128&q=75,prydwen_assets\planars\cosmic_life_sciences_institute.png
"Duran, Dynasty of Running Wolves",Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fduran-dynasty-of-running-wolves.webp&w=128&q=75,"prydwen_assets\planars\duran,_dynasty_of_running_wolves.png"
Fallen Star Anchorage,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Ffallen-star-anchorage.webp&w=128&q=75,prydwen_assets\planars\fallen_star_anchorage.png
Firmament Frontline: Glamoth,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Ffirmament-frontline-glamoth.webp&w=128&q=75,prydwen_assets\planars\firmament_frontline_glamoth.png
Fleet of the Ageless,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Ffleet-of-the-ageless.webp&w=128&q=75,prydwen_assets\planars\fleet_of_the_ageless.png
Forge of the Kalpagni Lantern,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fforge-of-the-kalpagni-lantern.webp&w=128&q=75,prydwen_assets\planars\forge_of_the_kalpagni_lantern.png
Giant Tree of Rapt Brooding,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fgiant-tree-of-rapt-brooding.webp&w=128&q=75,prydwen_assets\planars\giant_tree_of_rapt_brooding.png
Inert Salsotto,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Finert-salsotto.webp&w=128&q=75,prydwen_assets\planars\inert_salsotto.png
Izumo Gensei and Takama Divine Realm,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fizumo-gensei-and-takama-divine-realm.webp&w=128&q=75,prydwen_assets\planars\izumo_gensei_and_takama_divine_realm.png
"Lushaka, the Sunken Seas",Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Flushaka-the-sunken-seas.webp&w=128&q=75,"prydwen_assets\planars\lushaka,_the_sunken_seas.png"
Pan-Cosmic Commercial Enterprise,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fpan-cosmic-commercial-enterprise.webp&w=128&q=75,prydwen_assets\planars\pan-cosmic_commercial_enterprise.png
"Penacony, Land of the Dreams",Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fpenacony-land-of-the-dreams.webp&w=128&q=75,"prydwen_assets\planars\penacony,_land_of_the_dreams.png"
Punklorde Stage Zero,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fpunklorde-stage-zero.webp&w=128&q=75,prydwen_assets\planars\punklorde_stage_zero.png
Revelry by the Sea,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Frevelry-by-the-sea.webp&w=128&q=75,prydwen_assets\planars\revelry_by_the_sea.png
Rutilant Arena,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Frutilant-arena.webp&w=128&q=75,prydwen_assets\planars\rutilant_arena.png
"Sigonia, the Unclaimed Desolation",Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fsigonia-the-unclaimed-desolation.webp&w=128&q=75,"prydwen_assets\planars\sigonia,_the_unclaimed_desolation.png"
Space Sealing Station,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fspace-sealing-station.webp&w=128&q=75,prydwen_assets\planars\space_sealing_station.png
Sprightly Vonwacq,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fsprightly-vonwacq.webp&w=128&q=75,prydwen_assets\planars\sprightly_vonwacq.png
Talia: Kingdom of Banditry,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Ftalia-kingdom-of-banditry.webp&w=128&q=75,prydwen_assets\planars\talia_kingdom_of_banditry.png
Tengoku@Livestream,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Ftengoku-livestream.webp&w=128&q=75,prydwen_assets\planars\tengoku@livestream.png
The Wondrous BananAmusement Park,Planar Ornament,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fthe-wondrous-bananamusement-park.webp&w=128&q=75,prydwen_assets\planars\the_wondrous_bananamusement_park.png
