name,category,image_url,local_path
As Navigator Isee Sees It,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fas-navigator-isee-sees-it.webp&w=128&q=75,prydwen_assets\relics\as_navigator_isee_sees_it.png
Band of Sizzling Thunder,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fband-of-sizzling-thunder.webp&w=128&q=75,prydwen_assets\relics\band_of_sizzling_thunder.png
Champion of Streetwise Boxing,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fchampion-of-streetwise-boxing.webp&w=128&q=75,prydwen_assets\relics\champion_of_streetwise_boxing.png
Divine-Querying Master Smith,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fdivine-querying-master-smith.webp&w=128&q=75,prydwen_assets\relics\divine-querying_master_smith.png
Diviner of Distant Reach,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fdiviner-of-distant-reach.webp&w=128&q=75,prydwen_assets\relics\diviner_of_distant_reach.png
Eagle of Twilight Line,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Feagle-of-twilight-line.webp&w=128&q=75,prydwen_assets\relics\eagle_of_twilight_line.png
Ever-Glorious Magical Girl,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fever-glorious-magical-girl.webp&w=128&q=75,prydwen_assets\relics\ever-glorious_magical_girl.png
Firesmith of Lava-Forging,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Ffiresmith-of-lava-forging.webp&w=128&q=75,prydwen_assets\relics\firesmith_of_lava-forging.png
Genius of Brilliant Stars,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fgenius-of-brilliant-stars.webp&w=128&q=75,prydwen_assets\relics\genius_of_brilliant_stars.png
Guard of Wuthering Snow,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fguard-of-wuthering-snow.webp&w=128&q=75,prydwen_assets\relics\guard_of_wuthering_snow.png
Hero of Triumphant Song,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fhero-of-triumphant-song.webp&w=128&q=75,prydwen_assets\relics\hero_of_triumphant_song.png
Hunter of Glacial Forest,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fhunter-of-glacial-forest.webp&w=128&q=75,prydwen_assets\relics\hunter_of_glacial_forest.png
Iron Cavalry Against the Scourge,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Firon-cavalry-against-the-scourge.webp&w=128&q=75,prydwen_assets\relics\iron_cavalry_against_the_scourge.png
Knight of Purity Palace,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fknight-of-purity-palace.webp&w=128&q=75,prydwen_assets\relics\knight_of_purity_palace.png
Longevous Disciple,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Flongevous-disciple.webp&w=128&q=75,prydwen_assets\relics\longevous_disciple.png
Messenger Traversing Hackerspace,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fmessenger-traversing-hackerspace.webp&w=128&q=75,prydwen_assets\relics\messenger_traversing_hackerspace.png
Musketeer of Wild Wheat,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fmusketeer-of-wild-wheat.webp&w=128&q=75,prydwen_assets\relics\musketeer_of_wild_wheat.png
Passerby of Wandering Cloud,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fpasserby-of-wandering-cloud.webp&w=128&q=75,prydwen_assets\relics\passerby_of_wandering_cloud.png
Pioneer Diver of Dead Waters,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fpioneer-diver-of-dead-waters.webp&w=128&q=75,prydwen_assets\relics\pioneer_diver_of_dead_waters.png
Poet of Mourning Collapse,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fpoet-of-mourning-collapse.webp&w=128&q=75,prydwen_assets\relics\poet_of_mourning_collapse.png
Prisoner in Deep Confinement,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fprisoner-in-deep-confinement.webp&w=128&q=75,prydwen_assets\relics\prisoner_in_deep_confinement.png
Sacerdos' Relived Ordeal,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fsacerdos-relived-ordeal.webp&w=128&q=75,prydwen_assets\relics\sacerdos'_relived_ordeal.png
Scholar Lost in Erudition,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fscholar-lost-in-erudition.webp&w=128&q=75,prydwen_assets\relics\scholar_lost_in_erudition.png
Self-Enshrouded Recluse,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fself-enshrouded-recluse.webp&w=128&q=75,prydwen_assets\relics\self-enshrouded_recluse.png
The Ashblazing Grand Duke,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fthe-ashblazing-grand-duke.webp&w=128&q=75,prydwen_assets\relics\the_ashblazing_grand_duke.png
The Wind-Soaring Valorous,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fthe-wind-soaring-valorous.webp&w=128&q=75,prydwen_assets\relics\the_wind-soaring_valorous.png
Thief of Shooting Meteor,Relic Set,https://www.prydwen.gg/_next/image?url=https%3A%2F%2Fcdn.prydwen.gg%2Fimages%2Fhonkai-star-rail%2Frelics%2Fthief-of-shooting-meteor.webp&w=128&q=75,prydwen_assets\relics\thief_of_shooting_meteor.png
